"PID","Ethnicity","Sex.1m","Age","height","weight"
"AAG4X",2,"1",14,158.8,51.8
"AAC83",2,"2",12,45.9,43.2
"AAAAW",2,"1",10,134.4,34.55
"AAFNM",2,"2",6,107,17.5
"AAMWT",2,"1",4,95.7,15.25
"AAM8U",2,"2",32,147.9,53.55
"AABKT",2,"1",40,157.1,55.05
"AAHMD",2,"2",60,151,43
"AAJW2",2,"1",65,152.3,48.15
"AAE4J",2,"2",65,147.1,40.6
"AAE2E",2,"2",22,145.1,51
"AAAJ3",2,"2",8,115.4,21.95
"AABV7",2,"2",6,100.4,15.9
"AAEXH",2,"2",3,82.6,10.7
"AAN28",2,"2",24,144.1,44.5
"AAETX",2,"1",18,162.2,59.95
"AAJQR",2,"2",25,146.9,48.55
"AAABT",2,"1",24,154.3,59.05
"AAGXD",2,"1",2,78,9.25
"AAK9Y",2,"1",25,162.7,64.7
"AAMHD",2,"1",45,168.5,69.45
"AAH2P",2,"2",11,129.1,27.55
"AANXE",2,"1",27,165.6,59.45
"AAH3B",2,"2",20,148.9,45.15
"AAC69",2,"2",50,150.5,42.5
"AAKNF",2,"1",36,163,67.3
"AAD24",2,"2",20,149,61.05
"AADXX",2,"1",4,88.9,11.75
"AAGM7",2,"1",5,100,16.55
"AAD6C",2,"1",21,170.7,64.4
"AACGZ",2,"2",17,151.8,54.3
"AANAH",2,"1",20,159.4,59
"AAETK",2,"1",20,166.9,56.8
"AAGE7",2,"2",16,155.1,55.9
"AANFR",2,"1",14,166.7,57.05
"AAJVV",2,"2",15,147.5,55.65
"AABW3",2,"2",14,147.6,56.6
"AAE2M",2,"2",14,147,50.4
"AAB2R",2,"2",14,149.4,57.45
"AAHPT",2,"1",13,153.2,47.1
"AABFT",2,"2",12,146,46.5
"AAE3W",2,"1",17,152.4,52.6
"AAK3D",2,"2",14,152.9,54.1
"AAF7N",2,"2",13,144,45.95
"AAEUV",2,"2",15,151.7,54.85
"AABP8",2,"2",13,149.6,46.8
"AAK7N",2,"1",19,159.8,62.15
"AAMZP",2,"1",15,155.9,50.3
"AAE9G",2,"1",15,157.4,58.4
"AAJ6B",2,"1",14,146.1,43.6
"AAFDX",2,"1",13,148.1,45.4
"AAAUR",2,"1",13,149.4,39.85
"AAK2W",2,"1",14,148.9,45.4
"AANYB",2,"1",13,134.3,32.95
"AAGZW",2,"1",14,158.7,52.85
"AAFHN",2,"2",17,146.4,57.4
"AAKDU",2,"2",16,151.2,56.45
"AAMTM",2,"2",13,148.1,54.4
"AAEMQ",2,"2",11,152.4,50.95
"AAFWB",2,"2",13,150.5,56.45
"AAHCF",2,"2",12,136.7,38.35
"AAJBJ",2,"2",12,135.3,36.95
"AAJN7",2,"2",13,146.8,48
"AACX4",2,"2",13,148.5,57.8
"AAJHP",2,"2",17,156.8,57.6
"AAE4D",2,"2",15,141.9,50.5
"AAHTH",2,"2",15,148.9,52.75
"AACPX",2,"1",19,162.5,58.75
"AABTD",2,"1",18,156.5,47.9
"AAJNY",2,"1",13,153.5,39.15
"AAHF2",2,"1",19,171.3,64.25
"AADDN",2,"1",16,158.5,51.85
